processor_model,manufacturer,socket_type,core_count,clock_speed,power_consumption,price,release_date,architecture,is_discontinued
Ryzen 7,AMD,AM4,14,2.49,180,169.5 zł,10/30/2016,x86-64,false
i3,Intel,LGA1151,11,2.06,86,804.05 zł,8/24/2013,x86,true
i7,Intel,AM4,10,4.52,198,979.22 zł,2/26/2018,x86,false
i3,AMD,LGA1151,7,3.3,133,541.5 zł,11/17/2018,x86-64,false
i5,AMD,LGA1151,5,4.92,44,542.97 zł,12/11/2017,x86-64,true
i7,Intel,AM4,3,2.14,54,682.32 zł,3/19/2020,x86,true
i3,AMD,AM4,7,4.19,69,388.12 zł,4/3/2021,x86,true
i3,AMD,LGA1151,6,1.74,99,581.6 zł,10/31/2013,x86-64,true
i5,AMD,AM4,11,3.91,53,454.26 zł,9/26/2022,x86-64,true
Ryzen 5,Intel,LGA1151,4,4.89,121,876.32 zł,5/28/2013,x86-64,false
Ryzen 7,Intel,AM4,12,2.23,166,651.35 zł,9/18/2011,x86-64,true
Ryzen 7,Intel,LGA1151,11,2.18,33,216.46 zł,8/13/2014,x86,false
i3,AMD,LGA1151,14,1.78,139,916.82 zł,8/16/2019,x86-64,true
i3,AMD,LGA1151,12,3.58,191,168.04 zł,9/5/2018,x86-64,true
i7,AMD,AM4,7,1.99,194,872.16 zł,8/4/2021,x86-64,false
i5,AMD,LGA1151,10,2.21,63,327.41 zł,1/19/2022,x86,true
i3,AMD,LGA1151,3,2.91,22,228.95 zł,3/11/2016,x86,true
i3,Intel,AM4,13,4.49,125,570.63 zł,6/16/2014,x86,true
i3,AMD,LGA1151,16,3.71,85,647.29 zł,11/2/2017,x86,false
Ryzen 7,AMD,LGA1151,4,1.22,29,200.17 zł,5/31/2013,x86,false
Ryzen 5,Intel,LGA1151,5,2.39,60,588.32 zł,5/7/2018,x86-64,true
i3,Intel,LGA1151,12,4.35,188,61.21 zł,9/27/2017,x86,true
i7,AMD,AM4,8,2.45,183,793.63 zł,10/8/2014,x86,true
i7,Intel,AM4,5,2.56,92,767.09 zł,11/25/2015,x86-64,false
i3,Intel,AM4,4,3.72,21,706.7 zł,4/7/2020,x86-64,false
i5,AMD,LGA1151,13,4.56,87,232.69 zł,9/30/2011,x86,false
i5,Intel,LGA1151,12,1.33,198,140.02 zł,6/10/2011,x86-64,false
Ryzen 7,Intel,AM4,16,3.58,69,259.53 zł,6/25/2013,x86,true
i7,AMD,LGA1151,11,1.39,108,947.89 zł,10/1/2017,x86-64,false
i7,Intel,LGA1151,2,1.91,166,257.54 zł,10/21/2021,x86-64,true
Ryzen 7,AMD,AM4,5,2.1,103,428.33 zł,2/6/2011,x86-64,true
i7,AMD,AM4,15,2.9,139,179.25 zł,4/28/2022,x86-64,false
Ryzen 7,AMD,AM4,9,3.13,75,441.32 zł,8/2/2013,x86-64,false
i3,Intel,AM4,7,3.82,38,919.18 zł,6/10/2020,x86,true
i5,AMD,AM4,14,2.05,83,995.4 zł,7/20/2018,x86-64,false
i7,Intel,AM4,13,4.58,89,730.9 zł,10/7/2010,x86-64,true
Ryzen 5,AMD,LGA1151,8,3.26,77,303.18 zł,9/28/2016,x86-64,false
i5,AMD,LGA1151,12,3.91,158,854.21 zł,5/28/2019,x86-64,true
i3,AMD,AM4,16,2.16,144,879.44 zł,2/2/2019,x86,false
Ryzen 7,AMD,LGA1151,5,1.13,35,847.24 zł,5/16/2011,x86,true
Ryzen 5,Intel,AM4,9,3.88,58,981.68 zł,9/21/2018,x86-64,false
Ryzen 5,AMD,LGA1151,5,1.57,156,657.53 zł,9/24/2015,x86,false
i3,Intel,AM4,2,1.14,126,87.01 zł,12/3/2010,x86-64,true
